num,gX,gY,gZ,aX,aY,aZ,pitch,roll
0.0,-0.09969,0.22656,0.08641,0.00258,0.00236,-0.00277,0.557059,0.61756
0.0,0.05298,-0.12458,-0.40214,0.00502,-0.00643,0.01042,-0.507522,0.389509
0.0,-0.05389,0.13496,-0.11206,-0.00767,-0.00545,0.00065,-0.616394,-0.949389
0.0,-0.11496,-0.41466,-0.38687,0.00844,0.01017,0.01042,0.648999,0.525535
0.0,0.00718,-0.03298,0.20855,0.00454,-0.00448,0.00895,-0.419717,0.425566
0.0,-0.09969,-0.20092,0.07115,-0.00035,0.00236,-0.00228,0.796531,-0.105282
0.0,0.03771,-0.10931,0.02534,-0.00865,0.01408,-0.01107,0.786483,-0.449859
0.0,-0.22183,-0.17038,0.17802,-0.00279,-0.00057,-0.01107,-0.050005,-0.246426
0.0,0.17511,0.04336,-0.08153,-0.00816,-0.00106,-0.01742,-0.055034,-0.43739
0.0,-0.2371,-0.39939,-0.06626,0.00112,0.00333,-0.00472,0.602151,0.191075
0.0,0.22092,-0.10931,-0.24947,-0.00279,0.00382,0.01334,0.273419,-0.198209
0.0,-0.13023,0.02809,-0.02046,0.00698,-0.00692,-0.00912,-0.542397,0.547511
0.0,-0.1913,-0.13985,0.07115,-0.00181,-0.00252,0.00016,-0.946492,-0.621474
0.0,0.08351,0.02809,0.04061,0.01235,0.00578,-0.00033,0.437401,1.132646
0.0,-0.22183,-0.03298,-0.05099,-0.00474,-0.0079,-0.00423,-0.892994,-0.486749
0.0,-0.00809,0.02809,0.01008,0.006,-0.01034,-0.0013,-1.034739,0.522569
0.0,0.02244,0.11969,-0.09679,0.00258,-0.00204,0.00163,-0.588306,0.781029
0.0,0.14458,-0.04824,-0.08153,0.00258,0.01066,0.00163,1.291915,0.235127
0.0,-0.06916,0.02809,-0.21893,-0.00035,0.00724,0.00553,0.917454,-0.038023
0.0,0.25145,-0.13985,-0.29527,-0.00328,0.00138,0.00163,0.361219,-0.993516
0.0,-0.00809,-0.03298,-0.1884,0.00161,-0.00545,0.00358,-0.947238,0.24145
0.0,-0.1455,0.24183,-0.00519,-0.00718,-0.00155,0.00163,-0.207166,-1.267866
0.0,0.08351,-0.32305,-0.2342,-0.00767,0.00138,-0.01498,0.081942,-0.471663
0.0,-0.16076,0.10443,-0.03573,0.00551,-0.00497,-0.00912,-0.436182,0.488171
0.0,-0.17603,-0.15511,-0.35634,0.00356,0.00138,0.00846,0.149403,0.393507
0.0,0.15985,0.05863,-0.02046,0.00405,-0.00057,0.00504,-0.088105,0.673166
0.0,-0.16076,-0.04824,-0.06626,0.00161,0.00236,-0.0013,0.850694,0.537581
0.0,0.08351,-0.03298,0.04061,0.00747,0.01017,0.00456,0.860579,0.590244
0.0,0.00718,-0.13985,0.14748,-0.00132,0.00138,-0.0096,0.141574,-0.135531
0.0,-0.17603,-0.44519,0.10168,-0.00376,0.00871,0.0236,0.349371,-0.148564
0.0,-0.02336,0.11969,-0.21893,0.00551,-0.00545,-0.00326,-0.705549,0.71474
0.0,-0.20656,0.02809,0.08641,-0.00328,-0.0035,0.00895,-0.352024,-0.328555
0.0,-0.1913,0.10443,-0.00519,-0.00181,0.00675,-0.00375,1.018651,-0.230426
0.0,0.23618,0.11969,0.17802,0.00014,0.0048,0.01481,0.313406,0.009097
0.0,0.19038,0.08916,-0.40214,-0.00718,-0.00204,0.00163,-0.269746,-1.222782
0.0,-0.00809,-0.35359,0.05588,0.02211,-0.00155,0.10465,-0.01447,0.208224
0.0,2.89267,-0.17038,0.28489,-0.01451,0.06974,0.01579,1.272551,-0.20016
0.0,1.35069,-1.43756,0.36122,-0.00669,0.07023,0.11881,0.533149,-0.048465
0.0,-1.87069,0.04336,-0.66168,-0.00669,0.04191,0.03288,0.895717,-0.125023
0.0,-0.22183,1.28,-0.24947,-0.02232,0.06925,-0.1639,0.396492,-0.124786
0.0,-10.2829,1.73802,-1.66931,-0.01451,0.06681,0.1027,0.572255,-0.117855
0.0,6.55679,0.3029,1.15511,0.0187,0.07511,0.08561,0.708643,0.162709
0.0,3.8545,-0.91847,0.86504,0.00844,0.01066,0.1193,0.088889,0.070368
0.0,0.20565,2.02809,0.13221,-0.0106,0.08878,-0.14681,0.542754,-0.061707
0.0,5.61023,0.2571,1.21618,0.01235,-0.04989,0.0651,-0.645335,0.149436
0.0,3.33542,0.33344,0.42229,-0.03843,0.06095,0.14762,0.380139,-0.236149
0.0,1.79344,-0.15511,0.13221,-0.00328,0.08292,0.05631,0.973456,-0.032674
0.0,2.26672,2.1655,0.04061,-0.00669,-0.04305,-0.20248,-0.209396,-0.032328
0.0,0.7858,2.91359,0.52916,0.05483,-0.03573,-0.11556,-0.272378,0.425586
0.0,0.49573,-1.59023,0.17802,-0.00865,0.04777,0.27311,0.173069,-0.031179
0.0,-2.11496,2.94412,-0.12733,0.01625,-0.12655,-0.19759,-0.5681,0.069165
0.0,-1.53481,1.1426,0.05588,0.02553,-0.23348,0.1735,-0.926587,0.087549
0.0,2.25145,-0.94901,0.75817,-0.0189,-0.00448,0.20133,-0.022138,-0.093584
0.0,3.09115,-0.17038,0.23908,0.0104,-0.08651,-0.01791,-1.335884,0.117135
0.0,2.44992,-1.23908,0.6513,0.0104,0.04093,0.07926,0.473227,0.116008
0.0,2.26672,-0.09405,0.28489,-0.00132,-0.01278,0.132,-0.096502,-0.009978
0.0,1.28962,0.48611,-0.15786,-0.01988,0.01261,-0.00863,0.527099,-0.915405
0.0,1.99191,0.86779,0.43756,-0.05064,0.08683,0.1276,0.56397,-0.31703
0.0,1.83924,1.20366,0.49863,0.00356,0.03849,-0.16146,0.233972,0.021442
0.0,-2.20656,-2.99481,-0.21893,-0.02183,-0.04989,0.30241,-0.163079,-0.071108
0.0,-0.1455,-0.18565,-0.64641,0.02114,0.00724,-0.09261,0.076081,0.223735
0.0,-0.40504,0.08916,-0.17313,-0.00376,-0.0411,-0.02669,-0.990253,-0.076668
0.0,0.34305,1.55481,0.30015,0.01333,-8e-05,-0.04476,-0.001777,0.289344
0.0,0.67893,1.2342,-0.02046,0.00502,0.06144,-0.08236,0.640055,0.04886
0.0,0.6026,1.3716,0.05588,-0.01011,-0.0162,-0.12826,-0.125231,-0.078064
0.0,0.35832,1.60061,-0.17313,0.00454,0.01994,-0.12972,0.152402,0.034549
0.0,0.51099,0.40977,0.08641,-0.01646,-0.03573,-0.04378,-0.652276,-0.283427
0.0,0.70947,0.62351,0.14748,-0.02476,0.04484,0.01286,1.014201,-0.488004
0.0,0.00718,0.10443,-0.20366,-0.01939,-0.01083,-0.01595,-0.407059,-0.788275
0.0,-1.22947,-2.23145,-0.3716,0.02309,-0.04647,0.18375,-0.245841,0.121228
0.0,0.06824,0.18076,-0.3716,-0.00279,-0.02352,0.01872,-0.893315,-0.092491
0.0,0.23618,-0.01771,-0.06626,0.03188,-0.01327,0.03874,-0.258529,0.661566
0.0,-0.20656,0.48611,0.14748,0.01772,0.0131,-0.01595,0.502433,0.709366
0.0,-0.1913,0.05863,-0.17313,-0.01011,-0.0079,0.05973,-0.129598,-0.166286
0.0,0.38886,1.61588,-0.06626,0.04165,-0.03036,0.00895,-0.619167,0.92096
0.0,0.23618,0.80672,0.04061,-0.00962,-0.00741,-0.139,-0.053112,-0.06903
0.0,1.48809,-1.26962,0.26962,-0.00474,0.04093,0.1027,0.378902,-0.042858
0.0,-0.1455,-0.64366,0.16275,0.00454,0.00285,0.03385,0.083153,0.132741
0.0,-0.84779,0.45557,-0.02046,-0.01792,0.0424,-0.01742,1.038139,-0.372782
0.0,0.7858,0.40977,0.42229,0.00795,0.00919,-0.00472,0.782381,0.655906
0.0,-0.80198,-0.65893,-0.3258,-0.00328,-0.03036,0.0568,-0.490119,-0.050828
